id,name,type,year,num_sections,num_paragraphs
0,C-128-95,C,1995,3,78
1,C-843-10,C,2010,3,596
2,C-254A-12,C,2012,4,385
3,T-549-13,T,2013,4,104
4,T-011-99,T,1999,2,43
5,T-134-10,T,2010,3,156
6,C-1056-05,C,2005,6,1194
7,T-089-03,T,2003,5,85
8,C-1546-00,C,2000,7,213
9,T-012-09,T,2009,3,166
10,T-363-20,T,2020,3,259
11,SU648-17,SU,2017,3,463
12,T-1417-00,T,2000,2,79
13,C-965-99,C,1999,5,93
14,T-829-11,T,2011,3,109
15,C-473-16,C,2016,6,376
16,T-343-09,T,2009,3,102
17,T-521-05,T,2005,1,55
18,T-377-07,T,2007,4,92
19,T-059-20,T,2020,4,201
20,T-089-17,T,2017,3,276
21,C-1088-08,C,2008,7,152
22,T-402-06,T,2006,6,200
23,C-006-03,C,2003,0,151
24,C-1300-05,C,2005,8,678
25,C-591-19,C,2019,4,171
26,T-956-00,T,2000,2,87
27,T-015-09,T,2009,4,129
28,SU062-01,SU,2001,2,257
29,C-582-97,C,1997,4,76
30,T-1055-07,T,2007,5,139
31,T-450-07,T,2007,3,183
32,T-841-05,T,2005,0,43
33,T-580-11,T,2011,2,172
34,SU034-18,SU,2018,3,600
35,T-578-06,T,2006,4,208
36,T-056-08,T,2008,3,58
37,C-1004-07,C,2007,7,247
38,T-218-13,T,2013,3,214
39,T-412-17,T,2017,3,297
40,T-512-03,T,2003,3,77
41,T-016-22,T,2022,3,214
42,SU037-09,SU,2009,5,385
43,T-1270-01,T,2001,5,73
44,T-412-03,T,2003,6,62
45,T-860-02,T,2002,5,145
46,T-1248-05,T,2005,3,126
47,T-1085-06,T,2006,3,99
48,T-201-13,T,2013,4,160
49,T-254-12,T,2012,3,99
50,C-517-92,C,1992,7,383
51,T-576-03,T,2003,3,96
52,T-253-06,T,2006,3,117
53,T-164-21,T,2021,3,284
54,T-737-11,T,2011,2,151
55,T-550-07,T,2007,4,86
56,T-447-20,T,2020,0,148
57,C-1158-08,C,2008,3,229
58,T-402-12,T,2012,5,228
59,T-420-99,T,1999,0,21
60,T-634-97,T,1997,3,48
61,SU600-99,SU,1999,2,142
62,T-381-01,T,2001,4,43
63,T-376-99,T,1999,0,23
64,T-647-98,T,1998,0,33
65,T-1010-03,T,2003,5,191
66,C-225-95,C,1995,2,536
67,T-063-00,T,2000,2,61
68,C-138-99,C,1999,6,109
69,T-765-04,T,2004,4,77
70,T-087-12,T,2012,2,432
71,T-289-93,T,1993,4,70
72,C-484-17,C,2017,4,876
73,T-316-00,T,2000,2,39
74,T-694-16,T,2016,4,200
75,T-927-14,T,2014,3,111
76,T-665-04,T,2004,4,65
77,T-212-98,T,1998,4,48
78,C-1196-08,C,2008,7,186
79,T-208-02,T,2002,0,25
80,T-344-22,T,2022,3,431
81,T-258-10,T,2010,3,84
82,C-025-21,C,2021,5,1329
83,T-261-95,T,1995,2,94
84,T-024-12,T,2012,3,114
85,T-049-04,T,2004,3,149
86,T-997-99,T,1999,2,55
87,SU353-13,SU,2013,3,293
88,SU090-00,SU,2000,4,440
89,C-664-13,C,2013,7,521
90,C-226-14,C,2014,7,189
91,C-182-97,C,1997,4,112
92,T-178-13,T,2013,5,118
93,T-294-15,T,2015,3,188
94,T-1015-12,T,2012,3,125
95,C-139-07,C,2007,7,121
96,T-498-20,T,2020,3,320
97,T-175-99,T,1999,2,104
98,T-063-14,T,2014,3,391
99,C-553-01,C,2001,7,128
100,T-201-07,T,2007,3,190
101,T-286-08,T,2008,3,165
102,T-832-00,T,2000,2,136
103,C-674-15,C,2015,7,132
104,T-409-12,T,2012,2,152
105,T-024-08,T,2008,2,115
106,T-632-00,T,2000,3,38
107,C-205-20,C,2020,7,397
108,C-555-13,C,2013,7,725
109,T-927-02,T,2002,5,110
110,T-478-06,T,2006,5,119
111,T-618-06,T,2006,4,96
112,T-566-06,T,2006,4,128
113,C-1070-02,C,2002,8,205
114,T-303-14,T,2014,3,179
115,C-031-95,C,1995,5,163
116,T-001-97,T,1997,3,241
117,T-022-97,T,1997,5,61
118,T-667-01,T,2001,5,61
119,C-091-02,C,2002,3,85
120,C-943-12,C,2012,7,573
121,T-478-04,T,2004,3,61
122,T-389-93,T,1993,4,67
123,C-973-02,C,2002,5,476
124,T-872-01,T,2001,2,70
125,T-977-04,T,2004,4,115
126,T-869-04,T,2004,4,90
127,T-059-15,T,2015,12,352
128,T-576-17,T,2017,3,352
129,C-1062-03,C,2003,7,303
130,T-986-02,T,2002,3,101
131,T-112-16,T,2016,3,266
132,C-504-05,C,2005,7,95
133,T-030-17,T,2017,2,513
134,C-194-05,C,2005,7,201
135,T-935-07,T,2007,3,155
136,T-258-04,T,2004,4,58
137,T-002-11,T,2011,3,162
138,T-903-01,T,2001,2,205
139,T-284-19,T,2019,5,567
140,T-667-15,T,2015,3,390
141,T-672-17,T,2017,3,108
142,C-859-06,C,2006,7,162
143,T-545-06,T,2006,3,139
144,C-596-10,C,2010,3,123
145,C-281-95,C,1995,5,130
146,T-301-13,T,2013,3,127
147,T-383-10,T,2010,3,98
148,T-002-18,T,2018,2,745
149,T-415-00,T,2000,3,57
150,T-066-05,T,2005,3,178
151,C-207-19,C,2019,7,951
152,T-043-93,T,1993,3,152
153,T-848-09,T,2009,1,169
154,C-255-11,C,2011,4,242
155,C-1374-00,C,2000,4,79
156,C-928-06,C,2006,7,160
157,T-239-22,T,2022,4,221
158,T-1028-07,T,2007,3,73
159,C-598-11,C,2011,3,409
160,C-1058-08,C,2008,7,342
161,T-120-98,T,1998,0,58
162,C-079-12,C,2012,7,108
163,C-541-99,C,1999,3,187
164,T-050-10,T,2010,3,186
165,C-314-93,C,1993,5,137
166,SU207-22,SU,2022,3,603
167,T-142-10,T,2010,3,133
168,C-185-97,C,1997,5,109
169,T-023-03,T,2003,4,204
170,T-1110-03,T,2003,4,111
171,T-149-19,T,2019,2,133
172,T-1031-07,T,2007,5,104
173,T-444-99,T,1999,0,27
174,T-509-12,T,2012,4,122
175,C-569-00,C,2000,7,105
176,T-618-10,T,2010,5,197
177,T-365-07,T,2007,4,135
178,SU774-14,SU,2014,4,295
179,T-123-15,T,2015,4,151
180,T-133-04,T,2004,3,67
181,T-561-06,T,2006,2,78
182,T-555-09,T,2009,3,295
183,T-003-09,T,2009,3,92
184,T-743-02,T,2002,4,100
185,T-112-02,T,2002,3,134
186,T-1026-02,T,2002,4,209
187,C-033-11,C,2011,6,250
188,T-080-06,T,2006,5,247
