,id,name,type,year,num_sections,num_paragraphs
0,0,T-498-20,T,2020,3,320
1,1,T-025-18,T,2018,3,302
2,2,T-022-11,T,2011,3,143
3,3,C-466-08,C,2008,7,614
4,4,SU498-16,SU,2016,2,871
5,5,T-755-01,T,2001,2,60
6,6,SU184-19,SU,2019,4,232
7,7,C-417-20,C,2020,3,579
8,8,SU154-06,SU,2006,4,143
9,9,T-018-10,T,2010,4,112
10,10,C-019-07,C,2007,7,131
11,11,T-011-09,T,2009,3,121
12,12,C-943-12,C,2012,7,573
13,13,T-003-09,T,2009,3,92
14,14,T-004-14,T,2014,3,154
15,15,T-051-15,T,2015,3,174
16,16,T-056-08,T,2008,3,58
17,17,SU226-13,SU,2013,4,294
18,18,SU207-22,SU,2022,3,603
19,19,T-577-19,T,2019,3,230
20,20,Su201-94,SU,1994,3,130
21,21,C-169-93,C,1993,5,128
22,22,SU297-21,SU,2021,3,484
23,23,C-843-10,C,2010,3,596
24,24,C-136-18,C,2018,7,142
25,25,C-163-19,C,2019,7,289
26,26,C-473-16,C,2016,6,376
27,27,C-541-99,C,1999,3,187
28,28,C-555-13,C,2013,7,725
29,29,T-020-16,T,2016,4,497
30,30,C-930-14,C,2014,7,492
31,31,T-363-20,T,2020,3,259
32,32,SU069-18,SU,2018,4,358
33,33,SU091-16,SU,2016,3,914
34,34,C-033-11,C,2011,6,250
35,35,C-318-06,C,2006,6,302
36,36,C-727-15,C,2015,7,357
37,37,SU310-17,SU,2017,5,784
38,38,SU774-14,SU,2014,4,295
39,39,T-430-21,T,2021,3,1125
40,40,T-008-07,T,2007,3,69
41,41,T-030-17,T,2017,2,513
42,42,SU062-01,SU,2001,2,257
43,43,C-446-95,C,1995,3,81
44,44,C-063-21,C,2021,3,981
45,45,T-020-13,T,2013,3,150
46,46,C-014-97,C,1997,8,88
47,47,SU054-15,SU,2015,3,701
48,48,C-071-09,C,2009,3,100
49,49,C-571-17,C,2017,3,371
50,50,C-090-22,C,2022,16,983
51,51,T-636-06,T,2006,5,157
52,52,SU041-20,SU,2020,2,1303
53,53,T-497-06,T,2006,3,102
54,54,T-447-18,T,2018,3,6969
55,55,T-649-99,T,1999,0,67
56,56,T-024-12,T,2012,3,114
57,57,T-316-18,T,2018,3,276
58,58,T-118-99,T,1999,3,62
59,59,T-599-16,T,2016,3,534
60,60,T-211-05,T,2005,2,241
61,61,C-596-10,C,2010,3,123
62,62,C-621-04,C,2004,7,117
63,63,C-225-95,C,1995,2,536
64,64,C-170-04,C,2004,7,568
65,65,T-1603-00,T,2000,4,43
66,66,T-1009-10,T,2010,3,134
67,67,T-271-97,T,1997,4,44
68,68,T-218-21,T,2021,3,335
69,69,T-675-06,T,2006,5,83
70,70,T-935-07,T,2007,3,155
71,71,T-499-02,T,2002,3,90
72,72,C-179-20,C,2020,1,651
73,73,T-1152-00,T,2000,7,37
74,74,C-591-19,C,2019,4,171
75,75,T-311-11,T,2011,3,106
76,76,T-281A-12,T,2012,3,171
77,77,C-070-10,C,2010,5,172
78,78,SU447-11,SU,2011,3,1652
79,79,C-484-03,C,2003,8,112
80,80,C-139-07,C,2007,7,121
81,81,T-303-16,T,2016,3,510
82,82,T-164-21,T,2021,3,284
83,83,T-258-06,T,2006,2,263
84,84,C-928-06,C,2006,7,160
85,85,C-205-20,C,2020,7,397
86,86,T-667-01,T,2001,5,61
87,87,T-281-15,T,2015,4,254
88,88,T-136-01,T,2001,3,52
89,89,SU648-17,SU,2017,3,463
90,90,T-535-99,T,1999,2,133
91,91,T-131-08,T,2008,4,179
92,92,T-409-12,T,2012,2,152
93,93,C-973-02,C,2002,5,476
94,94,T-251-22,T,2022,3,263
95,95,T-036-15,T,2015,2,254
96,96,T-381-01,T,2001,4,43
97,97,T-767-01,T,2001,3,158
98,98,T-827-00,T,2000,4,47
99,99,T-381-15,T,2015,4,348
100,100,T-036-01,T,2001,3,55
101,101,T-288A-16,T,2016,3,231
102,102,T-682-99,T,1999,2,37
103,103,T-286-08,T,2008,3,165
104,104,T-409-06,T,2006,3,96
105,105,C-828-06,C,2006,6,129
106,106,T-358-06,T,2006,6,123
107,107,C-257-14,C,2014,7,169
108,108,T-667-15,T,2015,3,390
109,109,T-927-14,T,2014,3,111
110,110,T-136-15,T,2015,3,123
111,111,T-351-22,T,2022,3,193
112,112,T-281-01,T,2001,4,82
113,113,C-506-14,C,2014,3,164
114,114,C-484-17,C,2017,4,876
115,115,C-005-98,C,1998,3,137
116,116,C-733-03,C,2003,5,271
117,117,C-873-02,C,2002,7,659
118,118,T-303-02,T,2002,4,81
119,119,T-435-99,T,1999,0,29
120,120,T-509-12,T,2012,4,122
121,121,T-258-12,T,2012,2,101
122,122,T-760-08,T,2008,4,3072
123,123,T-820-09,T,2009,3,171
124,124,T-364-99,T,1999,3,145
125,125,C-350-09,C,2009,7,321
126,126,T-1199-00,T,2000,3,80
127,127,T-138-10,T,2010,3,324
128,128,T-485-14,T,2014,2,159
129,129,T-872-01,T,2001,2,70
130,130,T-063-00,T,2000,2,61
131,131,T-669-10,T,2010,2,217
132,132,T-929-11,T,2011,3,246
133,133,C-259-11,C,2011,7,244
134,134,T-1015-06,T,2006,3,100
135,135,T-031-20,T,2020,6,338
136,136,T-997-99,T,1999,2,55
137,137,T-256-17,T,2017,5,233
138,138,T-286-20,T,2020,0,344
139,139,T-460-98,T,1998,2,121
140,140,T-064-09,T,2009,4,199
141,141,T-735-09,T,2009,5,190
142,142,T-875-08,T,2008,3,134
143,143,T-003-92,T,1992,4,98
144,144,T-331-98,T,1998,4,51
145,145,T-356-17,T,2017,3,354
146,146,C-568-97,C,1997,5,103
147,147,T-1097-05,T,2005,1,319
148,148,C-239-97,C,1997,5,751
149,149,T-482-09,T,2009,3,104
150,150,T-288-19,T,2019,5,218
151,151,T-407-17,T,2017,3,491
152,152,T-038-10,T,2010,5,97
153,153,T-632-00,T,2000,3,38
154,154,T-972-01,T,2001,4,147
155,155,C-202-01,C,2001,5,185
156,156,C-553-01,C,2001,7,128
157,157,T-769-10,T,2010,4,195
158,158,T-829-11,T,2011,3,109
159,159,T-1220-05,T,2005,3,142
160,160,T-256-03,T,2003,5,133
161,161,T-386-20,T,2020,3,176
162,162,T-560-98,T,1998,4,73
163,163,T-164-09,T,2009,4,223
164,164,T-635-09,T,2009,3,510
165,165,T-975-08,T,2008,4,159
166,166,T-507-03,T,2003,6,86
167,167,C-533-93,C,1993,4,88
168,168,T-138-04,T,2004,3,108
169,169,T-732-14,T,2014,5,238
170,170,T-063-14,T,2014,3,391
171,171,T-1015-12,T,2012,3,125
172,172,C-193-05,C,2005,9,220
173,173,T-1068-06,T,2006,3,125
174,174,C-224-11,C,2011,3,357
175,175,T-614-10,T,2010,4,239
176,176,T-954-11,T,2011,3,352
177,177,T-796-13,T,2013,4,225
178,178,C-094-18,C,2018,6,915
179,179,T-1251-05,T,2005,2,208
180,180,T-958-05,T,2005,3,132
181,181,T-012-14,T,2014,3,306
182,182,T-1064-12,T,2012,3,208
183,183,T-743-14,T,2014,4,146
184,184,T-149-04,T,2004,4,96
185,185,T-618-10,T,2010,5,197
186,186,T-958-11,T,2011,5,360
187,187,T-1064-06,T,2006,4,242
188,188,C-228-11,C,2011,6,425
189,189,C-1264-05,C,2005,7,180
190,190,T-743-00,T,2000,4,53
191,191,T-803-01,T,2001,5,96
192,192,T-576-17,T,2017,3,352
193,193,C-321-21,C,2021,3,529
194,194,SU1052-00,SU,2000,3,206
195,195,C-692-08,C,2008,7,222
196,196,C-1051-12,C,2012,4,885
197,197,C-296-99,C,1999,6,113
198,198,T-594-92,T,1992,4,64
199,199,T-227-17,T,2017,4,561
200,200,T-190-03,T,2003,3,65
201,201,T-858-05,T,2005,3,76
202,202,T-112-14,T,2014,6,290
203,203,T-643-14,T,2014,3,179
204,204,T-049-04,T,2004,3,149
205,205,C-479-05,C,2005,7,121
206,206,T-744-09,T,2009,4,229
207,207,T-015-09,T,2009,4,129
208,208,T-090-17,T,2017,3,177
209,209,T-411-98,T,1998,4,57
210,210,C-425-08,C,2008,3,471
211,211,C-313-93,C,1993,8,237
212,212,T-343-09,T,2009,3,102
213,213,T-475-92,T,1992,2,168
214,214,T-549-19,T,2019,0,155
215,215,T-807-99,T,1999,1,65
216,216,C-310-02,C,2002,7,113
217,217,T-720-03,T,2003,2,53
218,218,T-860-02,T,2002,5,145
219,219,T-497-17,T,2017,2,274
220,220,T-412-09,T,2009,3,379
221,221,C-292-01,C,2001,3,660
222,222,C-674-15,C,2015,7,132
223,223,T-244-14,T,2014,4,241
224,224,C-541-16,C,2016,5,131
225,225,T-316-20,T,2020,4,379
226,226,T-597-03,T,2003,4,146
227,227,T-447-20,T,2020,0,148
228,228,T-620-17,T,2017,3,268
229,229,C-210-16,C,2016,4,967
230,230,C-077-21,C,2021,0,761
231,231,T-415-00,T,2000,3,57
232,232,T-344-00,T,2000,2,75
233,233,T-1085-12,T,2012,1,265
234,234,C-774-01,C,2001,5,620
235,235,C-1069-01,C,2001,7,64
236,236,C-598-11,C,2011,3,409
237,237,T-344-14,T,2014,3,191
238,238,T-1085-06,T,2006,3,99
239,239,T-171-03,T,2003,1,177
240,240,T-449-19,T,2019,3,81
241,241,T-647-98,T,1998,0,33
242,242,T-907-99,T,1999,1,38
243,243,T-578-10,T,2010,3,394
244,244,T-372-00,T,2000,3,131
245,245,C-742-01,C,2001,7,107
246,246,C-802-00,C,2000,4,110
247,247,C-013-01,C,2001,7,84
248,248,C-619-11,C,2011,6,206
249,249,T-423-00,T,2000,3,52
250,250,T-616-17,T,2017,3,218
251,251,T-297-98,T,1998,2,56
252,252,T-693-09,T,2009,6,283
253,253,C-1158-08,C,2008,3,229
254,254,C-028-97,C,1997,6,169
255,255,C-041-21,C,2021,8,115
256,256,T-1286-05,T,2005,3,228
257,257,T-320-20,T,2020,2,297
258,258,SU034-18,SU,2018,3,600
